Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
1.319,0.0000000,0.0610352,0.0610352,-0.3879932,-0.1628613,9.8722706,31.36
1.330,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1676514,9.8962212,31.35
1.341,-0.0610352,0.0610352,0.0000000,-0.3784131,-0.1580713,9.9058008,31.36
1.352,0.0000000,0.0610352,0.0000000,-0.3784131,-0.1724414,9.8962212,31.37
1.363,0.0000000,0.0610352,0.0000000,-0.3736230,-0.1628613,9.8770609,31.36
1.374,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1676514,9.8483200,31.35
1.385,0.0610352,0.0610352,-0.0610352,-0.3688330,-0.1724414,9.8579006,31.36
1.396,0.0610352,0.0610352,-0.0610352,-0.3688330,-0.1628613,9.8674803,31.35
1.407,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1628613,9.9010105,31.35
1.418,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1724414,9.8866405,31.35
1.429,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1532813,9.8914309,31.34
1.440,0.0000000,0.0610352,-0.0610352,-0.3640430,-0.1676514,9.8722706,31.34
1.451,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1676514,9.8866405,31.35
1.462,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1628613,9.8770609,31.35
1.473,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1580713,9.8674803,31.35
1.484,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1676514,9.8531103,31.36
1.495,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1820215,9.9105911,31.36
1.505,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1676514,9.9010105,31.36
1.516,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.9201708,31.37
1.527,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1532813,9.8818502,31.36
1.538,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1628613,9.8914309,31.37
1.549,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1772314,9.9105911,31.37
1.560,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1820215,9.8818502,31.37
1.571,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.9201708,31.37
1.582,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1676514,9.9153805,31.37
1.593,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1532813,9.9201708,31.35
1.604,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1580713,9.9153805,31.35
1.615,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1484912,9.9058008,31.36
1.626,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1484912,9.8818502,31.37
1.637,0.0000000,0.0000000,0.0610352,-0.3832031,-0.1724414,9.8770609,31.37
1.648,0.0000000,0.0610352,0.0610352,-0.3688330,-0.1724414,9.8866405,31.37
1.659,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1772314,9.8818502,31.37
1.670,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1868115,9.8914309,31.36
1.681,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.9153805,31.36
1.692,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1772314,9.8866405,31.35
1.703,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1820215,9.9058008,31.37
1.714,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8914309,31.37
1.725,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8866405,31.37
1.736,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1676514,9.8962212,31.37
1.747,0.0000000,0.0000000,0.0000000,-0.3879932,-0.1532813,9.8770609,31.35
1.758,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1532813,9.8722706,31.36
1.769,-0.0610352,0.0000000,0.0000000,-0.3784131,-0.1628613,9.8818502,31.36
1.780,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1676514,9.8770609,31.35
1.791,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1820215,9.8962212,31.36
1.802,-0.0610352,0.0000000,0.0000000,-0.3496729,-0.1580713,9.8626900,31.36
1.813,-0.0610352,0.0610352,0.0000000,-0.3496729,-0.1772314,9.8866405,31.36
1.824,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1724414,9.8818502,31.37
1.835,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1772314,9.8818502,31.37
1.846,0.0000000,0.0610352,-0.0610352,-0.3592529,-0.1628613,9.8818502,31.36
1.857,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1724414,9.8770609,31.35
1.868,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.8722706,31.36
1.879,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.9058008,31.36
1.890,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1676514,9.8866405,31.35
1.901,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1580713,9.8914309,31.37
1.912,-0.0610352,0.0000000,0.0000000,-0.3688330,-0.1724414,9.8962212,31.36
1.923,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1724414,9.8866405,31.36
1.934,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1724414,9.9010105,31.35
1.945,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1676514,9.8674803,31.34
1.956,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1772314,9.9105911,31.35
1.967,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1963916,9.8770609,31.35
1.978,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1868115,9.8914309,31.35
1.989,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8962212,31.34
2.000,0.0610352,0.0000000,-0.0610352,-0.3640430,-0.1628613,9.9010105,31.34
